"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Tyjae Spears","RB","TEN","4","2","4","2","bye","0","-","-","-","3","3","-","0","2","7","4","4","-","35","2.9"
"Mike Williams","WR","PIT","-","1","4","5","4","3","2","0","2","1","-","-","-","4","2","3","2","1","34","2.4"
"Jahan Dotson","WR","PHI","1","1","3","4","bye","3","1","0","1","1","2","1","1","2","1","0","0","11","33","1.9"
"Ja'Lynn Polk","WR","NE","1","3","2","7","6","4","3","-","1","1","0","2","1","bye","1","0","1","-","33","2.2"
"Dawson Knox","TE","BUF","2","0","2","1","0","1","3","2","2","3","6","bye","2","1","3","2","3","-","33","2.1"
"Justin Watson","WR","KC","1","2","2","3","-","bye","1","3","4","2","2","2","3","0","1","1","2","3","32","2.0"
"Michael Mayer","TE","LV","3","1","3","-","-","-","-","-","-","bye","3","2","2","9","2","1","2","4","32","2.9"
"Tommy Tremble","TE","CAR","-","4","3","0","2","-","-","3","-","-","bye","2","8","2","2","3","0","3","32","2.7"
"Kareem Hunt","RB","KC","-","-","-","3","1","bye","2","1","1","10","0","4","4","1","2","3","0","-","32","2.5"
"Jonathan Taylor","RB","IND","0","4","2","4","-","-","-","1","5","4","2","0","1","bye","2","0","4","2","31","2.2"
"Kylen Granson","TE","IND","1","2","1","0","0","1","2","2","1","2","2","2","3","bye","4","-","4","4","31","1.9"
"Taysom Hill","TE","NO","2","1","-","0","-","-","-","4","5","2","10","bye","7","-","-","-","-","-","31","3.9"
"Kyle Juszczyk","RB","SF","3","5","1","1","0","4","3","1","bye","0","2","1","0","2","0","3","2","3","31","1.8"
"Grant Calcaterra","TE","PHI","1","2","0","2","bye","4","1","3","5","1","0","1","0","3","1","0","2","4","30","1.8"
"Miles Sanders","RB","CAR","2","3","2","4","3","1","2","7","2","0","bye","-","-","-","-","-","-","4","30","2.7"
"Jalen Brooks","WR","DAL","1","3","3","0","1","6","bye","1","5","4","-","3","1","-","1","-","1","0","30","2.1"
"Robert Woods","WR","HOU","-","0","2","3","0","-","-","2","3","3","2","1","1","bye","2","6","2","3","30","2.1"
"Rashee Rice","WR","KC","9","6","14","0","-","bye","-","-","-","-","-","-","-","-","-","-","-","-","29","7.3"
"Nelson Agholor","WR","BAL","1","3","1","3","4","3","2","5","1","2","1","-","2","bye","1","-","-","-","29","2.2"
"Antonio Gibson","RB","NE","0","1","3","4","1","4","1","0","1","0","1","2","0","bye","2","2","1","6","29","1.7"
"DJ Turner","WR","LV","1","0","0","1","4","4","7","4","0","bye","3","4","1","-","-","-","0","-","29","2.2"
"Jeremy Ruckert","TE","NYJ","0","3","2","2","0","3","0","3","1","2","2","bye","2","1","3","2","0","2","28","1.6"
"Josh Oliver","TE","MIN","2","0","1","2","0","bye","1","2","5","6","3","-","-","2","0","1","0","3","28","1.9"
"Dare Ogunbowale","RB","HOU","1","2","2","4","7","0","1","1","3","0","1","0","0","bye","0","2","1","3","28","1.6"
"Jordan Whittington","WR","LAR","0","2","3","8","10","bye","0","-","-","0","0","0","0","0","0","0","1","4","28","1.9"
"Dante Pettis","WR","NO","-","-","-","-","-","-","-","-","-","1","1","bye","2","2","5","7","4","6","28","3.5"
"Zack Moss","RB","CIN","4","1","6","4","4","1","3","4","-","-","0","bye","-","-","-","-","-","-","27","3.0"
"Johnny Mundt","TE","MIN","3","3","3","2","2","bye","5","2","1","-","1","1","2","0","1","-","1","0","27","1.8"
"Cedrick Wilson Jr.","WR","NO","0","0","1","0","0","3","7","-","3","-","0","bye","1","1","1","1","4","5","27","1.8"
"Jaleel McLaughlin","RB","DEN","5","0","1","1","4","2","0","1","3","0","0","1","2","bye","3","-","2","2","27","1.7"
"Braelon Allen","RB","NYJ","1","4","3","1","2","2","1","0","1","1","0","bye","2","5","0","1","0","3","27","1.6"
"JuJu Smith-Schuster","WR","KC","1","0","3","0","8","bye","0","-","-","-","1","2","1","2","3","1","2","2","26","1.9"
"Xavier Hutchinson","WR","HOU","1","1","1","0","3","2","1","1","3","4","0","1","-","bye","1","1","4","2","26","1.6"
"Mason Tipton","WR","NO","1","0","3","1","4","2","9","2","3","0","-","bye","-","-","-","1","-","-","26","2.4"
"Darnell Washington","TE","PIT","1","1","0","2","2","1","4","1","bye","3","4","3","1","1","0","0","1","0","25","1.5"
"Ty Johnson","RB","BUF","1","2","3","0","0","0","1","1","0","3","1","bye","1","3","5","1","1","2","25","1.5"
"Brian Robinson Jr.","RB","WAS","4","3","1","3","0","-","0","1","-","-","1","2","1","bye","3","3","2","1","25","1.8"
"Elijah Higgins","TE","ARI","2","1","1","3","1","0","1","2","2","2","bye","2","2","0","1","1","3","0","24","1.4"
"Devin Singletary","RB","NYG","5","1","4","1","-","0","1","3","0","1","bye","2","1","0","3","0","1","1","24","1.5"
"Josh Reynolds","WR","JAC","8","5","2","2","2","-","-","-","-","-","-","bye","-","-","1","1","-","3","24","3.0"
"Luke McCaffrey","WR","WAS","3","0","3","1","3","1","0","2","0","3","1","1","2","bye","1","3","0","0","24","1.4"
"Tanner Hudson","TE","CIN","3","-","-","-","-","0","1","0","3","7","2","bye","4","1","1","-","-","1","23","2.1"
