"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Jonathan Jones","CB","NE","36","56","50","24","52","49","40","30","55","52","33","65","21","bye","42","39","46","22","712","41.9"
"B.J. Hill","DT","CIN","52","14","0","0","56","55","63","47","12","44","51","bye","56","49","55","49","54","53","710","47.3"
"DeMarvion Overshown","LB","DAL","44","18","49","59","58","63","bye","68","56","48","64","70","62","50","0","0","0","0","709","54.5"
"Chuck Clark","S","NYJ","72","66","52","61","73","10","0","0","0","0","69","bye","42","58","84","52","70","0","709","59.1"
"Bryan Bresee","DT","NO","36","48","49","40","53","43","39","45","31","46","38","bye","27","46","45","39","45","39","709","41.7"
"Vonn Bell","S","CIN","65","64","59","70","70","66","70","57","30","33","40","bye","18","8","15","7","18","18","708","41.6"
"Kader Kohou","CB","MIA","47","27","55","33","46","bye","49","0","0","63","65","69","9","47","27","36","71","64","708","47.2"
"Nik Bonitto","DE","DEN","23","41","35","55","39","50","40","29","31","45","35","53","48","bye","49","45","72","18","708","41.6"
"Vita Vea","DT","TB","35","39","0","39","54","42","38","45","60","43","bye","32","56","47","40","48","32","55","705","44.1"
"Isaiah McDuffie","LB","GB","74","50","42","52","46","26","44","38","19","bye","21","41","63","80","25","21","29","28","699","41.1"
"T'Vondre Sweat","DT","TEN","38","39","46","47","bye","56","39","25","28","37","54","45","53","36","40","40","41","35","699","41.1"
"Jarrian Jones","CB","JAC","17","57","6","46","19","11","45","58","53","42","49","bye","19","43","49","60","62","63","699","41.1"
"Christian Izien","S","TB","31","85","63","53","86","0","10","57","2","38","bye","49","59","65","43","56","0","0","697","49.8"
"Jamel Dean","CB","TB","59","85","68","57","87","10","0","0","0","0","bye","59","70","67","52","60","23","0","697","58.1"
"Javon Kinlaw","DT","NYJ","41","37","16","30","45","46","44","39","53","44","47","bye","50","48","49","38","34","36","697","41.0"
"Micah Parsons","LB","DAL","69","44","57","57","0","0","bye","0","0","37","61","61","60","53","46","57","46","48","696","53.5"
"Charvarius Ward","CB","SF","51","53","54","64","55","0","70","58","bye","0","0","0","58","44","57","67","0","64","695","57.9"
"Ernest Jones IV","LB","Multi","26","0","0","0","0","0","0","76","77","0","63","58","68","71","61","66","61","66","693","63.0"
"Nick Bosa","DE","SF","48","46","58","45","45","68","56","60","bye","52","26","0","0","0","47","56","62","24","693","49.5"
"Grover Stewart","DT","IND","47","42","49","40","39","36","42","45","43","44","25","39","44","bye","37","36","39","43","690","40.6"
"Divine Deablo","LB","LV","42","43","0","0","0","62","51","61","70","bye","46","55","51","38","38","44","32","56","689","49.2"
"Kenny Clark","DT","GB","56","35","34","55","51","44","47","35","37","bye","48","23","45","52","32","20","44","28","686","40.4"
"Trevon Diggs","CB","DAL","72","55","62","68","58","54","bye","67","57","59","62","0","0","71","0","0","0","0","685","62.3"
"Antonio Johnson","S","JAC","71","72","64","75","65","66","19","11","5","38","29","bye","37","38","39","17","21","17","684","40.2"
"Nate Wiggins","CB","BAL","17","0","38","51","21","43","67","0","32","51","63","52","35","bye","61","49","46","54","680","45.3"
"Kool-Aid McKinstry","CB","NO","28","61","0","5","7","18","33","49","0","0","72","bye","56","78","67","69","74","63","680","48.6"
"Jarran Reed","DT","SEA","43","37","49","40","50","53","36","40","43","bye","36","30","35","41","34","40","33","40","680","40.0"
"Davon Godchaux","DT","NE","33","47","51","40","53","45","50","47","55","29","30","40","43","bye","33","31","38","14","679","39.9"
"Justin Strnad","LB","DEN","0","0","0","57","51","59","42","37","14","42","28","63","78","bye","71","57","60","17","676","48.3"
"Harrison Phillips","DT","MIN","37","44","33","46","38","bye","48","59","31","29","27","47","42","39","30","40","31","54","675","39.7"
"Renardo Green","CB","SF","0","4","5","23","1","71","44","45","bye","48","56","47","58","45","64","55","71","38","675","42.2"
"Derick Hall","DE","SEA","31","45","40","43","46","47","42","56","56","bye","34","38","42","40","36","37","10","31","674","39.6"
